data;preco_br;;;;
09/10/2000;19,03;;;;
10/10/2000;19,02;;;;
11/10/2000;18,95;;;;
13/10/2000;18,87;;;;
16/10/2000;18,72;;;;
17/10/2000;18,83;;;;
18/10/2000;18,75;;;;
19/10/2000;18,91;;;;
20/10/2000;19,1;;;;
23/10/2000;19,02;;;;
24/10/2000;19,13;;;;
25/10/2000;19,33;;;;
26/10/2000;19,26;;;;
27/10/2000;19,13;;;;
30/10/2000;18,93;;;;
31/10/2000;19,01;;;;
01/11/2000;19,09;;;;
03/11/2000;19,31;;;;
06/11/2000;19,56;;;;
07/11/2000;19,59;;;;
08/11/2000;19,61;;;;
09/11/2000;19,42;;;;
10/11/2000;19,33;;;;
13/11/2000;19,31;;;;
14/11/2000;19,52;;;;
16/11/2000;19,49;;;;
17/11/2000;19,9;;;;
20/11/2000;20,03;;;;
21/11/2000;19,9;;;;
22/11/2000;20,03;;;;
23/11/2000;20,15;;;;
24/11/2000;20,78;;;;
27/11/2000;21,18;;;;
28/11/2000;21,22;;;;
29/11/2000;21,65;;;;
30/11/2000;22,05;;;;
01/12/2000;22,37;;;;
04/12/2000;22,23;;;;
05/12/2000;22,04;;;;
06/12/2000;21,96;;;;
07/12/2000;22,03;;;;
08/12/2000;22,01;;;;
11/12/2000;22,06;;;;
12/12/2000;22,1;;;;
13/12/2000;22,07;;;;
14/12/2000;21,97;;;;
15/12/2000;21,87;;;;
18/12/2000;21,99;;;;
19/12/2000;21,85;;;;
20/12/2000;21,79;;;;
21/12/2000;21,88;;;;
22/12/2000;21,72;;;;
26/12/2000;21,81;;;;
27/12/2000;21,72;;;;
28/12/2000;21,54;;;;
02/01/2001;21,53;;;;
03/01/2001;21,36;;;;
04/01/2001;21,41;;;;
05/01/2001;21,35;;;;
08/01/2001;21,39;;;;
09/01/2001;21,43;;;;
10/01/2001;21,26;;;;
11/01/2001;20,75;;;;
12/01/2001;20,74;;;;
15/01/2001;20,69;;;;
16/01/2001;20,71;;;;
17/01/2001;20,5;;;;
18/01/2001;20,4;;;;
19/01/2001;20,36;;;;
22/01/2001;20,35;;;;
23/01/2001;19,95;;;;
24/01/2001;19,95;;;;
25/01/2001;19,85;;;;
26/01/2001;19,77;;;;
29/01/2001;19,59;;;;
30/01/2001;19,38;;;;
31/01/2001;19,02;;;;
01/02/2001;18,8;;;;
02/02/2001;18,74;;;;
05/02/2001;18,65;;;;
06/02/2001;18,49;;;;
07/02/2001;18,36;;;;
08/02/2001;18,23;;;;
09/02/2001;18,02;;;;
12/02/2001;18,04;;;;
13/02/2001;18,01;;;;
14/02/2001;18,05;;;;
15/02/2001;18,02;;;;
16/02/2001;17,9;;;;
19/02/2001;18,29;;;;
20/02/2001;18,45;;;;
21/02/2001;18,32;;;;
22/02/2001;18,21;;;;
23/02/2001;18,23;;;;
28/02/2001;17,96;;;;
01/03/2001;17,73;;;;
02/03/2001;17,59;;;;
05/03/2001;17,43;;;;
06/03/2001;17,47;;;;
07/03/2001;17,31;;;;
08/03/2001;17,36;;;;
09/03/2001;17,54;;;;
12/03/2001;17,64;;;;
13/03/2001;17,65;;;;
14/03/2001;17,45;;;;
15/03/2001;17,83;;;;
16/03/2001;17,96;;;;
19/03/2001;18,03;;;;
20/03/2001;17,95;;;;
21/03/2001;17,66;;;;
22/03/2001;17,66;;;;
23/03/2001;17,77;;;;
26/03/2001;17,81;;;;
27/03/2001;17,84;;;;
28/03/2001;17,79;;;;
29/03/2001;17,85;;;;
30/03/2001;17,9;;;;
02/04/2001;17,85;;;;
03/04/2001;17,9;;;;
04/04/2001;17,97;;;;
05/04/2001;17,91;;;;
06/04/2001;17,9;;;;
09/04/2001;18,01;;;;
10/04/2001;17,83;;;;
11/04/2001;17,85;;;;
12/04/2001;17,89;;;;
16/04/2001;17,96;;;;
17/04/2001;18,05;;;;
18/04/2001;18,03;;;;
19/04/2001;18,06;;;;
20/04/2001;18,16;;;;
23/04/2001;18,17;;;;
24/04/2001;18,12;;;;
25/04/2001;18,21;;;;
26/04/2001;18,34;;;;
